,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
63,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,7
64,DA,0.41262576548149427,0.8194594594594595,226.7598683834076,0.055779107291552936,-0.005385462076877852,-0.012546441259754957,-0.005097575007168619,7,0
65,CEVAE,0.47858081172159533,0.8006795757165024,329.42266368865967,0.1836719810962677,0.07571224123239517,-0.06265711784362793,-0.00037864374462515116,7,0
66,M3E2,0.9658569145161625,0.7012121212121212,106.18528914451599,1.0473378896713257,0.6583343744277954,-0.22689567506313324,0.3381991684436798,7,0
67,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,7,0
68,DA,0.4105877146382634,0.8141304347826087,251.31032991409302,0.0468508416829956,-0.005606536298125333,-0.013559815245263755,-0.005113812535796411,7,1
69,CEVAE,0.3021301774461882,0.8069014417395415,214.00218558311462,,0.045249443501234055,,,7,1
70,M3E2,0.9059810276288506,0.7106060606060606,94.4569263458252,0.992720901966095,0.601018488407135,-0.08656644821166992,0.3509577214717865,7,1
71,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,7,1
72,DA,0.4097506231576166,0.8147069530396795,226.30120992660522,0.06368917729862192,-0.004091161523395285,-0.011153981486034479,-0.024410055089510073,7,2
73,CEVAE,0.15359494008739064,0.7909631391200951,135.0202066898346,,,,0.05084264650940895,7,2
74,M3E2,0.9620471420843121,0.7036363636363636,95.38480544090271,0.8240727186203003,0.7113317251205444,-0.24005012214183807,0.4800734519958496,7,2
75,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,7,2
76,DA,0.4123073510864746,0.8089682829019322,226.89857077598572,0.05076893763404525,-0.0014173361508580942,-0.01913653137821273,-0.011919278974217329,7,3
77,CEVAE,0.22416864124323252,0.791607876874723,262.217604637146,,0.022526202723383904,-0.07558679580688477,0.009255310520529747,7,3
78,M3E2,0.3492288926994394,0.769090909090909,93.18042135238647,-0.7038590908050537,0.06131470948457718,-0.44510015845298767,0.0016992432065308094,7,3
79,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,7,3
80,DA,0.41286464662727923,0.8271428571428572,228.09290051460266,0.05421948289058116,-0.0012666644245929082,-0.006666357201132927,-0.000821139616719877,7,4
81,CEVAE,0.557105653188462,0.795865634449557,294.48610258102417,0.19375838339328766,,-0.06739115715026855,0.07438760250806808,7,4
82,M3E2,0.8666205900866505,0.7427272727272727,102.26188635826111,0.8942179083824158,0.49508365988731384,-0.3366941213607788,0.14782612025737762,7,4
83,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,7,4
84,DA,0.4104271987222943,0.8043835616438357,248.96192526817322,0.0530356642488886,0.008705235416427242,0.0006088270073034853,-0.012083828227550879,7,5
85,CEVAE,0.2351059208188309,0.7805937726285301,176.1841504573822,,,-0.029601333662867546,,7,5
86,M3E2,0.9559078022051569,0.7018181818181818,94.96096229553223,1.0969855785369873,0.7017791271209717,-0.09023008495569229,0.3419758677482605,7,5
87,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,7,5
88,DA,0.4110337121434177,0.8169522091974752,228.69512224197388,0.0428474450543243,-0.0030412835819691414,-0.01569362645761636,-0.004025489815016422,7,6
89,CEVAE,0.34685907868343757,0.7858162779628748,175.7507026195526,,0.08997834473848343,,,7,6
90,M3E2,0.9388818332139369,0.7124242424242424,93.6206419467926,1.0899275541305542,0.6200124621391296,-0.03575487062335014,0.4171718955039978,7,6
91,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,7,6
92,DA,0.4169898536998719,0.8127837297984384,224.9514594078064,0.052895565854876835,-0.009038491563782558,-0.025815178671043187,0.005626611378634232,7,7
93,CEVAE,0.5486503368272057,0.8013155024990466,230.06299090385437,0.13829660415649414,0.08964753150939941,,0.030850911512970924,7,7
94,M3E2,0.5611495684046264,0.7263636363636363,94.45470333099365,-0.3898042142391205,0.2665051221847534,-0.5062786340713501,0.268958181142807,7,7
95,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,7,7
96,DA,0.4060278943417125,0.8166666666666667,225.2515630722046,0.0468454020662896,-0.02505588088864183,-0.02806040458271399,-0.018398898852227574,8,0
97,CEVAE,0.5292873955784588,0.7925706133861943,233.53104162216187,0.17970514297485352,,-0.05963261425495148,0.012744612991809845,8,0
98,M3E2,0.7575990754324909,0.6984848484848485,98.18575072288513,0.646300733089447,0.48061737418174744,-0.14309775829315186,0.16771988570690155,8,0
99,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,8,0
100,DA,0.40365332169088547,0.8184124682856108,247.87623763084412,0.05077548113101526,-0.017435481095644495,-0.015179064660655788,-0.02656632839120043,8,1
101,CEVAE,0.46900227956063706,0.7968142113818926,330.87669801712036,0.1403259038925171,0.05670434981584549,-0.06733089685440063,0.018987417221069336,8,1
102,M3E2,0.3077115398976918,0.7927272727272727,101.94035601615906,-0.6357752084732056,0.024677563458681107,-0.13855044543743134,0.11073280870914459,8,1
103,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,8,1
104,DA,0.4060332702321739,0.8192814587470663,228.33122277259827,0.0503076786187667,-0.027008130433341587,-0.0135377583765501,-0.005364776091995368,8,2
105,CEVAE,0.12351056293268273,0.791577951265673,144.62805795669556,,,,0.020758269354701042,8,2
106,M3E2,0.9367838754463907,0.7,93.45205163955688,1.1216107606887817,0.610578715801239,-0.07200775295495987,0.35027772188186646,8,2
107,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,8,2
108,DA,0.4030349051802393,0.8111332007952285,224.23884892463684,0.041507532336773977,-0.009404022674382936,-0.009858328403581322,-0.02248276780373065,8,3
109,CEVAE,0.4673095835518058,0.7937911263615,296.52033042907715,0.12094974517822266,0.0669814795255661,-0.058140069246292114,0.030506489798426628,8,3
110,M3E2,0.9300942654866692,0.7021212121212121,95.20386934280396,1.0097986459732056,0.7268226146697998,-0.16489934921264648,0.22619590163230896,8,3
111,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,8,3
112,DA,0.4064758938375163,0.811441063946074,225.22141313552856,0.044638468315256495,-0.019813445078229377,-0.022584559665547656,-0.014166558011225065,8,4
113,CEVAE,0.10149089410119275,0.8002853067047075,101.88098406791687,,,,-0.001261399476788938,8,4
114,M3E2,0.8524731948185679,0.7363636363636363,95.36955285072327,0.8812151551246643,0.49977341294288635,-0.11946574598550797,0.31677791476249695,8,4
115,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,8,4
116,DA,0.40576269873852994,0.8093158660844251,242.47859001159668,0.0530045607003856,-0.02009494398302674,-0.019510877433211626,-0.02203024965516625,8,5
