,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,T5,T6,T7,T8,seed_data,seed_models
87,CEVAE,0.18000651091534245,0.48794521589128764,671.0500183105469,0.014023144729435444,0.041207700967788696,,-0.07929164171218872,0.1718066930770874,0.04612666368484497,,0.10986435413360596,0.09484589844942093,2,1
88,M3E2,0.1626729345319671,0.5921212121212122,268.5070388317108,-0.04516418278217316,-0.05027841404080391,0.19686388969421387,-0.36030372977256775,0.2324521541595459,0.006315996870398521,-0.053052861243486404,0.13214968144893646,0.0729469358921051,2,1
89,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,0.210436841414051,-0.1257203542895107,0.3113220216518079,0.26448805471558473,2,1
90,DA,0.18314096441645103,0.3366533864541833,200.4950704574585,0.024956689185928038,0.0020155252237127534,0.18111821523986177,-0.1258782149733571,0.1561684095794705,0.06192765520627633,-0.013884115575351933,0.1201399322857588,0.08834162602820438,2,2
91,Dragonnet,0.19877828357100513,0.4710269324130698,323.2176411151886,0.04861478507518768,-0.015472611412405968,0.14536866545677185,-0.11194033920764923,0.07531178742647171,0.05439954251050949,-0.019166553393006325,0.12739120423793793,0.06697424501180649,2,2
92,CEVAE,0.19645063143436595,0.47930501198487724,688.6278984546661,0.04782705754041672,-0.005143779329955578,0.14424669742584229,-0.047027587890625,0.1532004177570343,0.05098390579223633,-0.013937253504991531,,0.08769284933805466,2,2
93,M3E2,0.1795494894764161,0.6027272727272728,264.05786776542664,-0.020222334191203117,-0.04228006303310394,0.1645483821630478,-0.25797292590141296,0.1615307778120041,-0.02710730768740177,-0.06850143522024155,0.13080169260501862,0.11300814896821976,2,2
94,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,0.210436841414051,-0.1257203542895107,0.3113220216518079,0.26448805471558473,2,2
95,DA,0.1876778888435136,0.3241344706472654,198.994225025177,0.012331539863885013,0.022641629688279562,0.1863742214394638,-0.14715050373148278,0.17902672917535345,0.03747041164273807,0.010959440046177327,0.07804081482035076,0.09867149890237661,2,3
96,Dragonnet,0.21667662377880437,0.4661970098246303,326.02362060546875,-0.0243480633944273,0.0725826546549797,0.13476905226707458,-0.09697205573320389,0.15391817688941956,0.03060677833855152,0.007428786717355251,0.03407072275876999,0.09849875420331955,2,3
97,CEVAE,0.19196314929774824,0.48656935238473387,692.5965709686279,0.05158647149801254,0.01719222404062748,0.1669108122587204,-0.05833134800195694,0.17697596549987793,0.05117371678352356,0.0044065979309380054,0.10409069061279297,0.07942712306976318,2,3
98,M3E2,0.15595678808768615,0.5887878787878787,266.88185572624207,-0.054490748792886734,-0.04856633022427559,0.26139357686042786,-0.3497021496295929,0.2567383348941803,-0.006920918822288513,-0.10752640664577484,0.07041417807340622,0.08329132199287415,2,3
99,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,0.210436841414051,-0.1257203542895107,0.3113220216518079,0.26448805471558473,2,3
100,DA,0.1940056532263595,0.30387596899224806,201.027263879776,0.02494933378317078,-0.00840870355600279,0.17498931922749844,-0.11181700385547792,0.13960996271973491,0.0465217149797672,0.019252188642454073,0.1101726491165911,0.0962490925249618,2,4
101,Dragonnet,0.2164318679635037,0.4755829797415123,324.45640444755554,-0.03877180814743042,0.039481185376644135,0.12468913942575455,-0.09342466294765472,0.13761533796787262,0.022607291117310524,0.03832688555121422,0.08503605425357819,0.09988623112440109,2,4
102,CEVAE,0.2008619638530416,0.4777682422764916,697.183831691742,0.022546976804733276,0.005330890417098999,0.16396595537662506,-0.028663186356425285,0.13708671927452087,0.052150484174489975,0.01944606937468052,0.13979579508304596,0.08484745025634766,2,4
103,M3E2,0.1530509917798227,0.6066666666666667,272.27215576171875,-0.002266761614009738,-0.025866638869047165,0.26417872309684753,-0.23204699158668518,0.20994317531585693,0.03701253607869148,-0.0713384598493576,0.16224147379398346,0.09661217778921127,2,4
104,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,0.210436841414051,-0.1257203542895107,0.3113220216518079,0.26448805471558473,2,4
105,DA,0.18947117630741472,0.2863006670087224,215.59048008918762,0.013146587465524339,-0.0010837099827930264,0.15944271725216763,-0.1565806549706476,0.15637347662227724,0.03925820906988637,-0.00854487926085767,0.10461902517726734,0.0805766364434131,2,5
106,Dragonnet,0.21121855597095382,0.4803712491797428,341.10757541656494,0.0031185997650027275,-0.02477855235338211,0.08056971430778503,-0.1322590857744217,0.1745462417602539,0.009188867174088955,-0.006547047756612301,0.08682079613208771,0.0534602589905262,2,5
107,CEVAE,0.190657026233574,0.48213702945468323,779.6383702754974,0.01481014583259821,0.00670072715729475,0.1382751166820526,-0.06648635864257812,0.18023774027824402,0.09589223563671112,-0.01039730291813612,0.12676386535167694,0.06722233444452286,2,5
108,M3E2,0.1926049162693821,0.5951515151515151,288.05520725250244,-0.026717720553278923,-0.10485218465328217,0.17814813554286957,-0.306284636259079,0.17463651299476624,-0.04957589879631996,-0.09540823847055435,0.09602831304073334,0.019894784316420555,2,5
109,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,0.210436841414051,-0.1257203542895107,0.3113220216518079,0.26448805471558473,2,5
110,DA,0.18499433740349883,0.31999999999999995,212.71010327339172,0.005886554368031161,-0.013469811494177869,0.18428454067051636,-0.16847701734143566,0.12814355943251707,0.04431831342209334,-0.022624686142369125,0.12286703959690319,0.09461812693480325,2,6
111,Dragonnet,0.18283817637278,0.4769953333045154,346.52751302719116,-0.027744503691792488,-0.04651970416307449,0.14106400310993195,-0.152628555893898,0.12897074222564697,0.08018555492162704,-0.055502999573946,0.1713213175535202,0.12174651026725769,2,6
112,CEVAE,0.19454203574858336,0.48542300160408736,672.0949778556824,0.07567957043647766,,0.13132232427597046,-0.053956400603055954,,0.0947272852063179,0.0031246000435203314,0.14612706005573273,0.09979116916656494,2,6
113,M3E2,0.17609048281905879,0.5809090909090909,298.70805954933167,-0.09350466728210449,-0.12879914045333862,0.2092626541852951,-0.39481621980667114,0.17739297449588776,-0.035351257771253586,-0.1685635894536972,0.1604604721069336,0.07073034346103668,2,6
114,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,0.210436841414051,-0.1257203542895107,0.3113220216518079,0.26448805471558473,2,6
115,DA,0.18401730932563007,0.26504751847940866,211.28157591819763,0.01695049099774084,5.1441982382938456e-05,0.18481796528392347,-0.14701957864475754,0.15527400723361207,0.04544069730172232,0.0010857396761949183,0.11407244355864897,0.10400239378871694,2,7
