,Method,MAE,F1_Test,Time(s),T0,T1,T2,seed_data,seed_models
145,Dragonnet,0.1644860529326164,0.4692824510902884,119.85714101791382,-0.10980278998613358,0.006574914790689945,0.01627708598971367,3,0
146,CEVAE,0.1383813478348417,0.4781018548374077,249.2912802696228,-0.12000638246536255,-0.050984084606170654,0.005725562572479248,3,0
147,HiCI,0.21279237382293184,0.43800695249130944,5.91850471496582,-0.0016753077507019043,0.05434662103652954,-0.053545594215393066,3,0
148,M3E2,0.06458894006719466,0.0,133.42181086540222,-0.3114921748638153,-0.15022701025009155,-0.007122037932276726,3,0
149,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,3,0
150,DA,0.14821233854068006,0.0640788662969809,213.05502438545227,-0.13023720109786072,-0.012051433903234201,0.006516702619555905,3,1
151,Dragonnet,0.13305938072977097,0.4601481820201443,122.73687219619751,-0.17813973128795624,-0.03096805512905121,0.02787698060274124,3,1
152,CEVAE,0.22178630002333277,0.4816174219847851,188.1982343196869,-0.0988311618566513,-0.013880819082260132,,3,1
153,HiCI,0.19346964933452637,,5.76085352897644,0.0,0.0,0.0,3,1
154,M3E2,0.21288655661225755,0.0,132.27980852127075,-0.10467761754989624,0.13087303936481476,-0.08030403405427933,3,1
155,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,3,1
156,DA,0.13611480570604614,0.08414634146341463,213.23949575424194,-0.15800021636883543,-0.04289989429020947,0.02883557977360415,3,2
157,Dragonnet,0.1408594419854644,0.46857494271179806,129.25273609161377,-0.11748696118593216,-0.02535947412252426,-0.014984186738729477,3,2
158,CEVAE,0.15044576255458228,0.4712516411418795,244.80258321762085,-0.10645630210638046,-0.057851895689964294,0.03523653745651245,3,2
159,HiCI,0.18209358630555503,0.42727272727272725,5.7510035037994385,-0.4455604553222656,0.2221050262451172,0.18932723999023438,3,2
160,M3E2,0.023074516080918667,0.0,129.64981031417847,-0.41094112396240234,-0.14138077199459076,-0.02337012253701687,3,2
161,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,3,2
162,DA,0.12895445384372642,0.0655737704918033,210.88969779014587,-0.14665924251011073,-0.04545914379506119,-0.0014272001672279875,3,3
163,Dragonnet,0.16335290530550114,0.4673813671749038,126.11954283714294,-0.1299191266298294,0.013879516161978245,0.02568937838077545,3,3
164,CEVAE,0.20490763366712683,0.48063128484460105,194.38041877746582,-0.1040053516626358,-0.042463961988687515,,3,3
165,HiCI,0.18870334404684733,0.43736263736263736,5.788444757461548,-0.19084978103637695,0.07216453552246094,0.1043863296508789,3,3
166,M3E2,0.07628724190275311,0.0,126.41086077690125,-0.2765246629714966,-0.09724750369787216,-0.07047367841005325,3,3
167,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,3,3
168,DA,0.13000240002881525,0.05276705276705277,209.2943844795227,-0.1476987442119257,-0.04060576943396293,-0.002097234271244762,3,4
169,Dragonnet,0.14796876426018904,0.4732959800685628,120.95999646186829,-0.1106424555182457,-0.014907053671777248,-0.010953146032989025,3,4
170,CEVAE,0.14496542841127272,0.4753768717702554,245.5940957069397,-0.10446906089782715,-0.04172711819410324,0.0006835163221694529,3,4
171,HiCI,0.5841377410837701,0.4287343215507411,5.943713903427124,-1.0740242004394531,0.4965476989746094,0.4957466125488281,3,4
172,M3E2,0.12064723385056297,0.0,126.00294756889343,-0.29527729749679565,0.01565103977918625,-0.10940774530172348,3,4
173,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,3,4
174,DA,0.13599873342239788,0.09634146341463415,207.9358971118927,-0.1462199624068693,-0.02841636960715196,0.002223584277635736,3,5
175,Dragonnet,0.13063166439712484,0.46613457882458853,121.81347060203552,-0.16134341061115265,-0.023194411769509315,-0.04427260160446167,3,5
176,CEVAE,0.13969915406632058,0.48206297430137796,246.24134349822998,-0.11452258378267288,-0.035786569118499756,-0.011002332903444767,3,5
177,HiCI,0.19377459796945692,0.45503791982665226,5.531731367111206,-0.0031565427780151367,0.02743697166442871,-0.024883151054382324,3,5
178,M3E2,0.18686139397176735,0.0,127.04805970191956,0.018323348835110664,-0.03177540376782417,-0.006372711155563593,3,5
179,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,3,5
180,DA,0.1308951363711163,0.037883736120182886,207.6658160686493,-0.16869533240756113,-0.04225941693356552,0.023231210450896423,3,6
181,Dragonnet,0.16822224700056146,0.4565644540670794,121.91318678855896,-0.11409053951501846,-0.003397639375180006,0.04174597188830376,3,6
182,CEVAE,0.1935951489259159,0.47999169496956107,206.73566317558289,-0.12270673364400864,-0.04638754948973656,,3,6
183,HiCI,0.1930029847023649,0.4466230936819172,6.0369110107421875,-0.020483046770095825,-0.001913696527481079,0.02099674940109253,3,6
184,M3E2,0.22484333605374338,0.0,127.83929014205933,0.004030595999211073,-0.0026233578100800514,-0.14096255600452423,3,6
185,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,3,6
186,DA,0.12798018936440533,0.07743496672716274,207.89490604400635,-0.17163534615314346,-0.022732027732242085,-0.002101006024977635,3,7
187,Dragonnet,0.13561826400933297,0.4657036781617727,125.49909210205078,-0.14242221415042877,-0.03884199634194374,0.007710054516792297,3,7
188,CEVAE,0.13599295991636942,0.4843590048725018,235.45389652252197,-0.1373603343963623,-0.028420835733413696,-0.006648898124694824,3,7
189,HiCI,0.1918688473897937,0.48562300319488816,5.984886169433594,-0.06159240007400513,0.03675997257232666,0.02003002166748047,3,7
190,M3E2,0.24861694183379848,0.0,130.73316550254822,-0.010534119792282581,0.19412918388843536,-0.030095547437667847,3,7
191,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,3,7
