,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
91,Dragonnet,0.2229077458321984,0.49684713582042084,226.14402723312378,0.017498860135674477,0.03600671514868736,0.10524064302444458,-0.14664775133132935,0.13467910885810852,2,2
92,CEVAE,0.21778416968285397,0.5039895124380938,398.9131910800934,0.0687892958521843,0.06192773953080177,0.14099085330963135,-0.09366010874509811,0.1521650105714798,2,2
93,M3E2,0.17845253168572373,0.5772727272727273,175.84948587417603,0.12110916525125504,0.02943981997668743,0.19573716819286346,-0.17279134690761566,0.1639772653579712,2,2
94,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,2,2
95,DA,0.2087104140467287,0.43613000755857906,73.32622027397156,0.015582279236411535,0.029260346799200844,0.16412843711351435,-0.12480759484312416,0.16378834273436912,2,3
96,Dragonnet,0.21723461746572809,0.49385250783827883,230.3737087249756,-0.009358586743474007,0.0467815101146698,0.18294815719127655,-0.08555927872657776,0.18405795097351074,2,3
97,CEVAE,0.2158123213738139,0.5072767781951393,412.4746994972229,0.05076335743069649,0.0411103218793869,0.14454102516174316,-0.07837881147861481,0.17096389830112457,2,3
98,M3E2,0.11936067870785183,0.5712121212121212,174.23054122924805,0.10535261780023575,0.043650347739458084,0.29708290100097656,-0.25758591294288635,0.27175021171569824,2,3
99,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,2,3
100,DA,0.20347284193727339,0.4235569422776911,75.23927927017212,0.033035050411445076,0.028095972142505657,0.16485994424239117,-0.12994874970156442,0.1654863954625998,2,4
101,Dragonnet,0.22550635651057802,0.49326006554229984,227.3612096309662,0.01747855544090271,-0.03495118394494057,0.13113218545913696,-0.15677908062934875,0.11276137083768845,2,4
102,CEVAE,0.22357791773378208,0.5007595647959532,424.1147270202637,0.04722399264574051,0.06361806392669678,0.14600539207458496,-0.08955973386764526,0.14553773403167725,2,4
103,M3E2,0.14115945807992772,0.5821212121212122,175.03312158584595,0.059622909873723984,0.035010311752557755,0.21804635226726532,-0.2847546637058258,0.2493874728679657,2,4
104,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,2,4
105,DA,0.21740937847602138,0.4416282642089093,71.77814960479736,-0.014880165816154957,0.02705821812849007,0.16587596970601973,-0.12305570767321017,0.14855819154716995,2,5
106,Dragonnet,0.23751152592083655,0.5024297057844793,224.27956080436707,-0.02048051729798317,0.005071782972663641,0.12164869904518127,-0.1282799392938614,0.08865425735712051,2,5
107,CEVAE,0.25968333226445567,0.5115486749022121,388.05293321609497,0.028236648067831993,,0.1614781618118286,-0.1050645187497139,0.16315242648124695,2,5
108,M3E2,0.19254835042505816,0.5772727272727273,181.69439506530762,-0.058202967047691345,0.04647212475538254,0.41146141290664673,0.00846876110881567,0.22153906524181366,2,5
109,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,2,5
110,DA,0.195307913005591,0.4925528229996536,69.34514093399048,0.06324787687926518,0.005150219049560872,0.16200816204571228,-0.1565947044916249,0.14719126348090822,2,6
111,Dragonnet,0.20695536769329861,0.4889528361862611,228.21155381202698,0.04034877568483353,0.017872940748929977,0.13880017399787903,-0.1337244212627411,0.1528211086988449,2,6
112,CEVAE,0.20197645134259648,0.5001367286645053,410.45543003082275,0.11323270201683044,0.027078896760940552,0.141072079539299,-0.12459398806095123,0.13898272812366486,2,6
113,M3E2,0.14699233024715738,0.5672727272727273,178.9437882900238,0.06090879440307617,0.0287873987108469,0.21085330843925476,-0.3033253252506256,0.20133669674396515,2,6
114,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,2,6
115,DA,0.20817324409424764,0.40283569641367806,72.86478328704834,0.034461209832812964,0.03048288072987836,0.17612390081470466,-0.12275808873374774,0.13887183823923652,2,7
116,Dragonnet,0.2215190468013867,0.4955525837542668,224.4955506324768,0.03546307981014252,-0.019038105383515358,0.12616132199764252,-0.11171428859233856,0.14883597195148468,2,7
117,CEVAE,0.21061911098062353,0.4995290682826137,398.9545376300812,0.08322084695100784,0.0690855011343956,0.17371231317520142,-0.09055925160646439,0.151095911860466,2,7
118,M3E2,0.1721508409768279,0.5793939393939394,181.35421895980835,-0.03357025980949402,0.08929474651813507,0.23773591220378876,-0.25683173537254333,0.25014153122901917,2,7
119,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,2,7
120,DA,0.17435190979967818,0.1423312883435583,69.60625743865967,-0.14581575426885257,-0.045145603124201045,0.0433020931052924,0.07458408979153011,0.021626271395619425,3,0
121,Dragonnet,0.1853014761035474,0.4646013545354414,228.8871214389801,-0.11075691133737564,-0.04334644228219986,0.043694041669368744,0.07342405617237091,0.005288425832986832,3,0
122,CEVAE,0.19105782931793053,0.4699045093656065,398.9895279407501,-0.09105973690748215,-0.029086710885167122,0.04125291854143143,0.04816347360610962,0.03328302502632141,3,0
123,M3E2,0.13670135469459402,0.5748484848484848,179.7496461868286,-0.3050932288169861,-0.15150175988674164,0.01130332425236702,0.07457878440618515,-0.002999453339725733,3,0
124,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,0.4658731758411227,0.06934705062859976,3,0
125,DA,0.15805217975148428,0.08256880733944953,73.73953294754028,-0.14686453461765708,-0.052441720992607896,-0.0025582020391755962,0.10449099773428791,0.019012820332151913,3,1
126,Dragonnet,0.19461586531569566,0.45381807094643295,223.57339692115784,-0.10736921429634094,0.005143025889992714,-0.02456386759877205,0.04362621530890465,-0.02698742225766182,3,1
127,CEVAE,0.17798628440651282,0.4756874931965534,407.6813793182373,-0.06931965053081512,-0.03190695866942406,5.922859145357506e-06,0.08601091057062149,0.03846615552902222,3,1
128,M3E2,0.13929616575608245,0.5778787878787879,180.32396459579468,-0.3259948790073395,-0.13638879358768463,-0.11024390161037445,0.13545595109462738,-0.062173448503017426,3,1
129,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,0.4658731758411227,0.06934705062859976,3,1
130,DA,0.1556478732645778,0.08639587362991619,73.18957734107971,-0.1443723955828452,-0.03311231602300373,0.0047128090924709745,0.11143793256579902,0.05317997307123567,3,2
